fips_code,state,state_name,county,cases_7_day_count_change,deaths_7_day_count_change,new_test_results_reported_7_day_rolling_average,percent_positive_7_day,admissions_covid_confirmed_last_7_days_per_100k_population,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,date,report_date_window_start,report_date_window_end,hsa_num
17031,IL,Illinois,Cook County,0,0,,4.41,10.4,3.8,3.9,2022-11-21,2022-11-15,2022-11-21,287
17031,IL,Illinois,Cook County,0,0,,4.56,10.0,3.8,4.0,2022-11-20,2022-11-14,2022-11-20,287
17031,IL,Illinois,Cook County,0,0,,4.57,9.8,3.8,4.2,2022-11-17,2022-11-11,2022-11-17,287
17031,IL,Illinois,Cook County,0,0,,4.61,9.7,3.8,4.2,2022-11-18,2022-11-12,2022-11-18,287
17031,IL,Illinois,Cook County,0,0,,4.66,10.0,3.8,4.1,2022-11-19,2022-11-13,2022-11-19,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-22,2020-01-16,2020-01-22,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-23,2020-01-17,2020-01-23,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-24,2020-01-18,2020-01-24,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-25,2020-01-19,2020-01-25,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-26,2020-01-20,2020-01-26,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-27,2020-01-21,2020-01-27,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-28,2020-01-22,2020-01-28,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-30,2020-01-24,2020-01-30,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-01-31,2020-01-25,2020-01-31,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-01,2020-01-26,2020-02-01,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-02,2020-01-27,2020-02-02,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-03,2020-01-28,2020-02-03,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-04,2020-01-29,2020-02-04,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-06,2020-01-31,2020-02-06,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-07,2020-02-01,2020-02-07,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-08,2020-02-02,2020-02-08,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-09,2020-02-03,2020-02-09,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-10,2020-02-04,2020-02-10,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-11,2020-02-05,2020-02-11,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-12,2020-02-06,2020-02-12,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-13,2020-02-07,2020-02-13,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-14,2020-02-08,2020-02-14,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-15,2020-02-09,2020-02-15,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-16,2020-02-10,2020-02-16,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-17,2020-02-11,2020-02-17,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-18,2020-02-12,2020-02-18,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-19,2020-02-13,2020-02-19,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-20,2020-02-14,2020-02-20,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-21,2020-02-15,2020-02-21,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-22,2020-02-16,2020-02-22,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-23,2020-02-17,2020-02-23,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-24,2020-02-18,2020-02-24,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-25,2020-02-19,2020-02-25,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-26,2020-02-20,2020-02-26,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-27,2020-02-21,2020-02-27,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-28,2020-02-22,2020-02-28,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-02-29,2020-02-23,2020-02-29,287
17031,IL,Illinois,Cook County,0,0,0.0,,0.0,0.0,0.0,2020-03-01,2020-02-24,2020-03-01,287
17031,IL,Illinois,Cook County,0,0,2.0,,0.0,0.0,0.0,2020-03-02,2020-02-25,2020-03-02,287
17031,IL,Illinois,Cook County,0,0,29.0,,0.0,0.0,0.0,2020-03-03,2020-02-26,2020-03-03,287
17031,IL,Illinois,Cook County,0,0,32.0,3.13,0.0,0.0,0.0,2020-03-05,2020-02-28,2020-03-05,287
17031,IL,Illinois,Cook County,0,0,44.0,3.03,0.0,0.0,0.0,2020-03-07,2020-03-01,2020-03-07,287
17031,IL,Illinois,Cook County,0,0,44.0,3.18,0.0,0.0,0.0,2020-03-06,2020-02-29,2020-03-06,287
17031,IL,Illinois,Cook County,0,0,46.29,3.09,0.0,0.0,0.0,2020-03-08,2020-03-02,2020-03-08,287
17031,IL,Illinois,Cook County,0,0,54.86,4.95,0.0,0.0,0.0,2020-03-09,2020-03-03,2020-03-09,287
17031,IL,Illinois,Cook County,0,0,62.86,7.73,0.0,0.0,0.0,2020-03-10,2020-03-04,2020-03-10,287
17031,IL,Illinois,Cook County,0,0,103.71,8.95,0.0,0.0,0.0,2020-03-12,2020-03-06,2020-03-12,287
17031,IL,Illinois,Cook County,0,0,129.57,9.7,0.0,0.0,0.0,2020-03-13,2020-03-07,2020-03-13,287
17031,IL,Illinois,Cook County,0,0,162.14,9.78,0.0,0.0,0.0,2020-03-14,2020-03-08,2020-03-14,287
17031,IL,Illinois,Cook County,0,0,191.43,10.37,0.0,0.0,0.0,2020-03-15,2020-03-09,2020-03-15,287
17031,IL,Illinois,Cook County,0,0,256.29,10.42,0.0,0.0,0.0,2020-03-16,2020-03-10,2020-03-16,287
17031,IL,Illinois,Cook County,0,0,369.43,10.94,0.0,0.0,0.0,2020-03-17,2020-03-11,2020-03-17,287
17031,IL,Illinois,Cook County,0,0,766.43,14.02,0.0,0.0,0.0,2020-03-19,2020-03-13,2020-03-19,287
17031,IL,Illinois,Cook County,0,0,910.14,14.64,0.0,0.0,0.0,2020-03-20,2020-03-14,2020-03-20,287
17031,IL,Illinois,Cook County,0,0,1021.71,15.84,0.0,0.0,0.0,2020-03-21,2020-03-15,2020-03-21,287
17031,IL,Illinois,Cook County,0,0,1135.43,17.11,0.0,0.0,0.0,2020-03-22,2020-03-16,2020-03-22,287
17031,IL,Illinois,Cook County,0,0,1342.43,18.35,0.0,0.0,0.0,2020-03-23,2020-03-17,2020-03-23,287
17031,IL,Illinois,Cook County,0,0,1541.43,20.77,0.0,0.0,0.0,2020-03-24,2020-03-18,2020-03-24,287
17031,IL,Illinois,Cook County,0,0,1806.57,24.46,0.0,0.0,0.0,2020-03-26,2020-03-20,2020-03-26,287
17031,IL,Illinois,Cook County,0,0,2018.14,25.83,0.0,0.0,0.0,2020-03-27,2020-03-21,2020-03-27,287
17031,IL,Illinois,Cook County,0,0,2104.57,26.35,0.0,0.0,0.0,2020-03-28,2020-03-22,2020-03-28,287
17031,IL,Illinois,Cook County,0,0,2182.71,26.93,0.0,0.0,0.0,2020-03-29,2020-03-23,2020-03-29,287
17031,IL,Illinois,Cook County,0,0,2283.86,28.2,0.0,0.0,0.0,2020-03-30,2020-03-24,2020-03-30,287
17031,IL,Illinois,Cook County,0,0,2356.14,28.78,0.0,0.0,0.0,2020-03-31,2020-03-25,2020-03-31,287
17031,IL,Illinois,Cook County,0,0,2480.29,29.22,0.0,0.0,0.0,2020-04-02,2020-03-27,2020-04-02,287
17031,IL,Illinois,Cook County,0,0,2532.43,29.1,0.0,0.0,0.0,2020-04-03,2020-03-28,2020-04-03,287
17031,IL,Illinois,Cook County,0,0,2606.0,29.25,0.0,0.0,0.0,2020-04-04,2020-03-29,2020-04-04,287
17031,IL,Illinois,Cook County,0,0,2703.86,29.4,0.0,0.0,0.0,2020-04-05,2020-03-30,2020-04-05,287
17031,IL,Illinois,Cook County,0,0,2792.57,29.6,0.0,0.0,0.0,2020-04-06,2020-03-31,2020-04-06,287
17031,IL,Illinois,Cook County,0,0,2832.14,29.57,0.0,0.0,0.0,2020-04-07,2020-04-01,2020-04-07,287
17031,IL,Illinois,Cook County,0,0,2854.0,30.61,0.0,0.0,0.0,2020-04-12,2020-04-06,2020-04-12,287
17031,IL,Illinois,Cook County,0,0,2865.43,30.13,0.0,0.0,0.0,2020-04-09,2020-04-03,2020-04-09,287
17031,IL,Illinois,Cook County,0,0,2877.71,30.54,0.0,0.0,0.0,2020-04-10,2020-04-04,2020-04-10,287
17031,IL,Illinois,Cook County,0,0,2892.71,30.37,0.0,0.0,0.0,2020-04-13,2020-04-07,2020-04-13,287
17031,IL,Illinois,Cook County,0,0,2917.0,30.55,0.0,0.0,0.0,2020-04-11,2020-04-05,2020-04-11,287
17031,IL,Illinois,Cook County,0,0,3061.0,29.65,0.0,0.0,0.0,2020-04-14,2020-04-08,2020-04-14,287
